Source Target Weight
赵德汉 陈海 117
赵德汉 高育良 13
赵德汉 侯亮平 140
赵德汉 丁义珍 278
赵德汉 季昌明 26
赵德汉 周正 52
赵德汉 陆亦可 104
赵德汉 林华华 78
刁德一 李达康 15
小皮球 欧阳菁 36
小皮球 何阿三 72
小皮球 丁义珍 216
小皮球 侯亮平 252
小皮球 孙连城 90
小皮球 侯浩然 18
小皮球 李达康 72
小皮球 祁同伟 54
小皮球 赵东来 54
小皮球 陆亦可 54
陈海帮 陈海 11
陈海帮 陈岩石 18
林华华 赵德汉 78
林华华 李达康 126
林华华 高育良 26
林华华 蔡成功 119
林华华 丁义珍 136
林华华 郑西坡 27
林华华 沙瑞金 15
林华华 陈海 57
林华华 侯亮平 206
林华华 季昌明 34
林华华 陈群芳 11
林华华 周正 35
林华华 王大路 35
林华华 高小琴 24
林华华 欧阳菁 152
林华华 陆亦可 88
林华华 赵东来 16
林华华 桂花 23
高育良 赵德汉 13
高育良 李达康 332
高育良 林华华 26
高育良 陈海 132
高育良 蔡成功 135
高育良 何阿三 18
高育良 丁义珍 244
高育良 郑西坡 45
高育良 沙瑞金 213
高育良 陈岩石 81
高育良 张卡 20
高育良 侯亮平 366
高育良 季昌明 100
高育良 周正 24
高育良 祁同伟 124
高育良 高小琴 97
高育良 欧阳菁 128
高育良 郑胜利 42
高育良 陆亦可 92
高育良 赵东来 12
何阿三 小皮球 72
何阿三 李达康 70
何阿三 高育良 18
何阿三 蔡成功 41
何阿三 丁义珍 77
何阿三 陈岩石 12
何阿三 陈海 45
何阿三 侯亮平 136
何阿三 孙连城 20
何阿三 祁同伟 12
何阿三 王大路 14
何阿三 高小琴 15
何阿三 欧阳菁 52
何阿三 陆亦可 22
何阿三 赵东来 12
丁义珍 赵德汉 278
丁义珍 李达康 263
丁义珍 林华华 136
丁义珍 小皮球 216
丁义珍 高育良 244
丁义珍 蔡成功 185
丁义珍 何阿三 77
丁义珍 郑胜利 14
丁义珍 郑西坡 15
丁义珍 沙瑞金 101
丁义珍 陈岩石 39
丁义珍 陈海 307
丁义珍 侯亮平 724
丁义珍 孙连城 65
丁义珍 季昌明 92
丁义珍 周正 86
丁义珍 祁同伟 78
丁义珍 高小琴 96
丁义珍 欧阳菁 130
丁义珍 侯浩然 21
丁义珍 陆亦可 247
丁义珍 赵东来 55
郑西坡 李达康 101
郑西坡 林华华 27
郑西坡 蔡成功 291
郑西坡 郑胜利 275
郑西坡 沙瑞金 45
郑西坡 陈岩石 57
郑西坡 欧阳菁 45
郑西坡 高育良 45
郑西坡 侯亮平 279
郑西坡 孙连城 22
郑西坡 张宝宝 30
郑西坡 季昌明 72
郑西坡 丁义珍 15
郑西坡 陆亦可 90
郑西坡 赵东来 59
陈岩石 陈海帮 18
陈岩石 李达康 213
陈岩石 高育良 81
陈岩石 蔡成功 160
陈岩石 何阿三 12
陈岩石 丁义珍 39
陈岩石 郑西坡 57
陈岩石 沙瑞金 115
陈岩石 陈海 260
陈岩石 侯亮平 137
陈岩石 祁同伟 22
陈岩石 赵立春 20
陈岩石 高小琴 26
陈岩石 王馥真 18
陈岩石 郑胜利 14
陈岩石 陆亦可 29
陈岩石 赵东来 68
张卡 欧阳菁 28
张卡 侯亮平 16
张卡 李达康 33
张卡 高育良 20
侯亮平 张宝宝 18
侯亮平 赵德汉 140
侯亮平 小皮球 252
侯亮平 李达康 742
侯亮平 林华华 206
侯亮平 高育良 366
侯亮平 蔡成功 1271
侯亮平 欧阳菁 584
侯亮平 何阿三 136
侯亮平 丁义珍 724
侯亮平 郑西坡 279
侯亮平 郑胜利 142
侯亮平 沙瑞金 254
侯亮平 陈岩石 137
侯亮平 张卡 16
侯亮平 陈海 582
侯亮平 孙连城 92
侯亮平 季昌明 253
侯亮平 陈群芳 51
侯亮平 周正 71
侯亮平 钟小艾 46
侯亮平 祁同伟 223
侯亮平 王大路 58
侯亮平 秦思远 23
侯亮平 张树立 22
侯亮平 毕敬业 14
侯亮平 高小琴 375
侯亮平 侯浩然 36
侯亮平 陆亦可 553
侯亮平 赵东来 375
侯亮平 桂花 50
张宝宝 侯亮平 18
张宝宝 郑胜利 28
张宝宝 郑西坡 30
钟小艾 侯亮平 46
赵立春 沙瑞金 20
赵立春 陈岩石 20
王大路 李达康 189
王大路 林华华 35
王大路 蔡成功 22
王大路 何阿三 14
王大路 桂花 28
王大路 沙瑞金 18
王大路 欧阳菁 168
王大路 侯亮平 58
王大路 周正 14
王大路 毕敬业 14
王大路 陆亦可 16
秦思远 陈海 13
秦思远 侯亮平 23
张树立 陈海 15
张树立 侯亮平 22
张树立 蔡成功 13
欧阳菁 小皮球 36
欧阳菁 李达康 737
欧阳菁 林华华 152
欧阳菁 高育良 128
欧阳菁 蔡成功 266
欧阳菁 何阿三 52
欧阳菁 丁义珍 130
欧阳菁 郑西坡 45
欧阳菁 沙瑞金 80
欧阳菁 张卡 28
欧阳菁 陈海 45
欧阳菁 侯亮平 584
欧阳菁 孙连城 19
欧阳菁 季昌明 80
欧阳菁 陈群芳 36
欧阳菁 周正 50
欧阳菁 李梁 22
欧阳菁 祁同伟 81
欧阳菁 王大路 168
欧阳菁 毕敬业 44
欧阳菁 高小琴 143
欧阳菁 陆亦可 129
欧阳菁 赵东来 57
欧阳菁 桂花 95
侯浩然 侯亮平 36
侯浩然 小皮球 18
侯浩然 陈海 15
侯浩然 蔡成功 13
侯浩然 丁义珍 21
吴春林 祁同伟 12
陆亦可 赵德汉 104
陆亦可 小皮球 54
